Civilian Police Review Board Complaint Tracking Log 2019,,,,,,,,
,,,,,,,,
Complaint Number,Coded ID of Officers,Ward of Incident,Vicinity (intersections),Complainant Race/ethnicity,Complainant Statement(s),Official Response,Applicable Policy ,Type of Force Used
 (2019-1),"001, 002, 003, 004",3 or 5,200 block/N Cunningham,Not given in complaint,Profiling/Harassment,Proper Conduct,UPD Code: 321.5.9(f),None/Traffic Stop
3 (2019-2),"005, 006, 007",2,400 block/McCullough,White,Tone of Speech/Intimidation,Unfounded,UPD Code: 321.5.9(f),None
? (2019-3),N/A,5,200- 300 block/Broadway,Not given in complaint,Unlawful Arrest/Harassment,Dismissed,CPRB Sec. 19-28 (q),N/A
1 (2019-4),", 008",5,Broadway St.,Not given in complaint,Lost ID after Arrest,Withdrawn by Complainant,,None
4 (2019-5),"009, 010, 011",2,500 block /High St.,White,Lying/Intimidation,No Jurisdiction,CPRB Sec. 19-28 (g),None 
4 (2019-6) ,"002, 004, 013, 014",1 or 2,400 block/Illinois,Asian,Intimidation/Traffic Hazard,Unfounded,UPD Code: 321.5.9(f),
3 (2019-7),"015, 016, 017",6,Urbana Walmart,Not given in complaint,"Unprofessional, Rude, Hostile, Condesending",Proper Conduct/No Arrest,UPD Code: 321.5.9(f),None
2 (2019-8),"009, 018",1,800 Block of Nevada; Parking Lot,Not given in complaint,Professionalism/Harassment,Warning/Provided Understanding,UPD Code: 321.5.9(f),None
3 (2019-9),"006, 019, 003",1 or 2,500 block/Illinois St.,White,Lack of Follow-up/Dismissive,"No Probale Cause/Closed, Response provided, Officer Counseling",UPD Code:  600.3,None
3 (2019-10),"018, 009,004",1 or 2,500 BLOCK/Illinois St.,White,FOIA/Recording/Camera Activation/ Police Complaint Unresolved/Equipment Usage,Proper Conduct,UPD Code: 321.5.9(f),None
3 (2019-11),"019, 020, 021",3,N. Cunningham Avenue,Black,Unlawful Arrest/Fabricated Crimstopper Report/Rights Violation,Arrested/Jail Time for Complainant,UPD Code: 321.5.9(f),None
3 (2019-12; 2019-13),"004, 023, 024",5,400 Block/N. Vine St.,Not given in complaint,Missing ID/Property; Denied Medical Attention,Unfounded/Proper Conduct,UPD Code:  321.5.9i and 427.10,None
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
