Year,Complaint Number,Coded ID of Officers,Ward of Incident,Vicinity (intersections),Complainant Race,Complainant Statement(s),Official Response,Applicable Policy ,Type of Force Used
2022,2022-01,5,"Champaign, IL",N/A,Mixed Race,"Officer bias, retaliation",Suspended,CPRB 19-37,None
2022,2022-01,54,"Champaign, IL",N/A,Mixed Race,"Officer bias, retaliation",Suspended,CPRB 19-37,None
2022,2022-02,3,5,400 Blk Vine St.,Black,"No Bodycam worn, rude",Proper Conduct,321.5.9 (f)        421.5 (d),None
2022,2022-02,26,5,400 Blk Vine St.,Black,"No Bodycam worn, rude",Proper Conduct,321.5.9 (f)        421.5 (d),None
2022,2022-03,26,5,400 Blk Vine St.,Black,"Harassed, rude",Proper Conduct,321.5.9 (f),None
2022,2022-04,29,3,Hyde Dr.,Mixed Race,No Follow-Up on report,Withdrawn,UPD 600.3,None
2022,2022-05,16,6,1700 Blk Florida Ave.,N/A,"Trespass, rights of property, theft,",Suspended,CPRB 19-37,None
2022,2022-06,N/A,N/A,No Specifics provided,Black,Being followed/Stalkedby police,Filed,MHR,None
2023,2023-01,5,N/A,Champaign,Black,"False Accusations, Rude, Disrespectful, Threatening, Intimidation",Proper Conduct,321.5.8b       321.5.9F,None
2023,2023-01,44,N/A,Champaign,Black,"False Accusations, Rude, Disrespectful, Threatening, Intimidation",Proper Conduct,321.5.8b       321.5.9F,None
2023,2023-02,N/A,Outside Corporate limits,Perkins Rd,N/A,Wrong Person/Identity,Pending Criminal Case,CPRB Ord. Sec. 19-37,None
2023,2023-03,35,5,University & Vine Sts.,N/A,Motor Vehicle Accident Report not Received,Suspended,CPRB Ord. Sec. 19-37,None
2023,2023-04,70,5,400 S. Vine St.,N/A,Police Report Not Received/the accused,Extension Request/Closed,CPRB 19-37,None
2023,2023-04,18,5,400 S. Vine St.,N/A,Police Report Not Received/the accused,Extension Request/Closed,CPRB 19-37,None
2023,2023-05,31,5,400 S. Vine St.,N/A,Police Report Not Received/the accused,Extension Request/Closed,CPRB 19-37,None
2023,2023-05,14,5,400 S. Vine St.,N/A,Police Report Not Received/the accused,Extension Request/Closed,CPRB 19-37,None
2023,2023-06,58,6,Washington & Lierman,Black,Feeling discriminated against/Unprotected,Dropped by Complainant,,None
2023,2023-06,71,6,Washington & Lierman,Black,Feeling discriminated against/Unprotected,Dropped by Complainant,,None
2023,2023-07,72,4,Philo Rd. & James Cherry Dr.,N/A,Threatened with Tickets/Harassment,N/A,,None
2023,2023-08,72,4,Philo Rd. & James Cherry Dr.,Hispanic,N/A,Withdrawn by Complainant. Witness instead,,None
2023,2023-09,35,5,Main St. & Vine St.,Black,No Report written or provided to complainant,N/A,,None
2023,2023-10,N/A,N/A,6th St & Green Street,Black,Illegally Tased,Memo Written,,None
2021,2021-01,8,3,900 Block of Division St.,Black,Property damage/feeling ignorance from officer,Improper conduct by officer/proper conduct,321.5.9 (f) ,none
2021,2021-02,19,5,Via USPS mail,Black,Racist police conduct,Pending,CPRB 19-37,none
2021,2021-02,20,5,Via USPS mail,Black,Racist police conduct,Pending,CPRB 19-37,none
2021,2021-03,19,"3, 5",North Cunningham Ave.,Black,Illegal search and seizure,Pending,CPRB 19-37,none
2021,2021-03,20,"3, 5",North Cunningham Ave.,Black,Illegal search and seizure,Pending,CPRB 19-37,none
2021,2021-03,21,"3, 5",North Cunningham Ave.,Black,Illegal search and seizure,Pending,CPRB 19-37,none
2021,2021-04,12,5,Urbna & Illinois Sts.,Black,Body camera not on during visit with police,Pending/Extension granted,CPRB 19-37,none
2021,2021-04,29,5,Urbna & Illinois Sts.,Black,Body camera not on during visit with police,Pending/Extension granted,CPRB 19-37,none
2021,2021-06,N/A,6,1600 Block of Washington,Black,Officer visits to home./serve papers,Closed,CPRB 19-28,none
2021,2021-07,N/A,6,1600 Block of Washington,Black,Illiegal visit to home,Closed,CPRB 19-28,none
2021,2021-08,N/A,7,Salt & Light,Black,Invaded personal space,1. Improper conduct by officer                   2. proper conduct   3. proper conduct,CPRB 19-37,none
2021,2021-09,Champ. Cnty Task Force,6,East Amber Lane,Black,Unlawful search and seizure,N/A,N/A,none
2021,2021-05,Multiple,"1, 4, 5, 6",Multiple locations,Black,Police following him,Filed,MHR,none
2020,2020-01,8,5,Town & Country Apts.,N/A,Unlawful Stop,Proper Conduct,UPD Code:  500.3,None
2020,2020-02,17,4,Grove St Apartments,N/A,Wrongly arrested,Did not meet reporting criteria – reported beyond time limit (2018 incident),CPRB Ordinance Sec. 19-28 (g),None
2020,2020-03,18,,Green & Lincoln/Circle K,N/A,Conduct,Proper Conduct,UPD Code:  321.5.9f,None
2020,2020-03,9,,Green & Lincoln/Circle K,N/A,Conduct,Proper Conduct,UPD Code:  321.5.9f,None
2020,2020-04,25,5,400 S. Vine St.,White,Failure to issue response in time requirements,Proper Conduct,CPRB Ord. Sec. 19-28 (k),None
